English,Japan
The company of loved ones brings warmth and happiness to my heart.,愛する人たちと一緒にいると、心に温かさと幸福がもたらされます。
I'm passionate about making a positive impact in the world and leaving a lasting legacy.,私は世界にポジティブな影響を与え、永続的な遺産を残すことに情熱を持っています。
The gentle breeze on a summer evening carries with it a sense of tranquility.,夏の夜のそよ風は、静けさをもたらします。
I'm inspired by individuals who follow their dreams and never give up on what they believe in.,私は自分の夢を追い、自分が信じるものを決して諦めない人たちにインスピレーションを受けます。
The taste of a home-cooked meal brings back fond memories of family gatherings and togetherness.,家庭料理の味は、家族の集まりや団欒の懐かしい思い出を思い出させます。
I'm dedicated to lifelong learning and constantly seeking opportunities for personal and professional development.,私は生涯学習に専念し、個人的および専門的な能力開発の機会を常に探しています。
The sound of birds chirping in the morning fills me with a sense of optimism and hope.,朝、鳥のさえずりを聞くと、楽観的な気持ちと希望が湧いてきます。
I find peace in solitude and enjoy moments of quiet reflection.,私は孤独の中に平安を見出し、静かに熟考する時間を楽しんでいます。
I'm motivated by the desire to make a positive impact on the lives of others and create meaningful change.,私は、他の人の生活にポジティブな影響を与え、有意義な変化を生み出したいという願望によって動機づけられています。
The smell of fresh flowers is invigorating and adds a touch of beauty to any space.,新鮮な花の香りは爽やかで、どんな空間にも美しさを加えます。
I'm grateful for the support and love of my family and friends.,家族や友人のサポートと愛に感謝しています。
The beauty of a sunset reminds me of the fleeting nature of time and the importance of cherishing every moment.,夕日の美しさは、時間の儚さと一瞬一瞬を大切にすることの大切さを思い出させてくれます。
I'm inspired by individuals who use their voices to stand up for what they believe in.,私は、自分の信念を主張するために自分の声を使う人々からインスピレーションを受けます。
The sound of rain tapping against the window is a lullaby that helps me drift into peaceful sleep.,窓を叩く雨の音は、私を安らかな眠りに導く子守唄です。
I'm dedicated to living a purposeful life and making a difference in the world.,私は目的のある人生を送り、世界に変化をもたらすことに専念しています。
The sight of a rainbow after a storm serves as a reminder of hope and resilience.,嵐の後の虹の光景は、希望と立ち直る力を思い出させます。
I find joy in simple acts of kindness and strive to spread positivity wherever I go.,私は単純な親切な行為に喜びを感じ、どこへ行ってもポジティブな気持ちを広めるように努めています。
I'm motivated by the opportunity to learn and grow each day.,私は日々学び、成長する機会に刺激を受けています。
The company of good friends brings laughter and creates lasting memories.,仲の良い友達と一緒にいると笑いが生まれ、忘れられない思い出が生まれます。
I'm grateful for the beauty of nature and the sense of peace it brings.,自然の美しさとそれがもたらす平和な感覚に感謝しています。
The feeling of accomplishment after completing a challenging task is incredibly rewarding.,難しい仕事をやり遂げた後の達成感は、とてもやりがいのあるものです。
I'm inspired by individuals who embrace their authenticity and encourage others to do the same.,私は、自分の真正性を受け入れ、他の人にも同じようにするよう奨励する個人にインスピレーションを受けます。
The sound of waves crashing on the shore is a reminder of the vastness and power of the ocean.,海岸に打ち寄せる波の音は、海の広大さと力強さを思い出させます。
I'm dedicated to living a balanced life and nurturing all aspects of my well-being.,私はバランスの取れた生活を送り、健康のあらゆる面を養うことに専念しています。
The scent of freshly baked bread evokes a sense of warmth and comfort.,焼きたてのパンの香りは、温かみと安らぎを感じさせます。
I'm motivated by the belief that every challenge presents an opportunity for growth.,あらゆる挑戦は成長の機会であるという信念が私の原動力です。
The laughter of children playing in the park fills the air with joy and happiness.,公園で遊ぶ子供たちの笑い声は、空気を喜びと幸せで満たします。
I'm inspired by individuals who overcome adversity with grace and resilience.,私は逆境を優雅さと立ち直りで乗り越える人々にインスピレーションを受けます。
The sight of blooming flowers signals the arrival of spring and the renewal of life.,花が咲く姿は、春の到来と生命の再生を告げます。
I find solace in the beauty of nature and the serenity it brings.,私は自然の美しさとそれがもたらす静けさに慰めを感じます。
The sound of rain is soothing and brings a sense of calm.,雨の音は心地よく、心を落ち着かせてくれます。
I find inspiration in nature's beauty and its intricate designs.,私は自然の美しさとその複雑なデザインにインスピレーションを見出します。
I believe in the power of love to create positive change in the world.,私は世界に前向きな変化を生み出す愛の力を信じています。
The smell of freshly baked bread reminds me of home and the warmth of family.,焼きたてのパンの香りは、故郷や家族の温もりを思い出させます。
I'm motivated by the desire to make a difference and leave a lasting impact.,私は変化をもたらし、永続的な影響を残したいという願望によって動機付けられています。
The sound of birds singing in the morning fills me with a sense of renewal.,朝、鳥の鳴き声を聞くと、気分がリフレッシュされます。
I find joy in small acts of kindness that brighten someone else's day.,私は、誰かの一日を明るくするような小さな親切な行為に喜びを感じます。
I'm grateful for the opportunity to learn and grow through life's challenges.,人生の課題を通じて学び、成長する機会を与えていただいたことに感謝しています。
The feeling of sand between my toes brings a sense of freedom and relaxation.,足の指の間の砂の感覚は、解放感とリラックス感をもたらします。
I believe in the inherent goodness of people and their capacity for compassion.,私は人々が本来持っている善良さと思いやりの能力を信じています。
The sight of a full moon illuminating the night sky is both magical and serene.,夜空を照らす満月の光景は、幻想的でありながら穏やかです。
I'm inspired by individuals who show resilience in the face of adversity.,私は逆境に直面しても立ち直る力を示す人たちからインスピレーションを受けます。
"The taste of a juicy, ripe fruit is a delight for the senses.",ジューシーで熟した果実の味わいは五感を喜ばせます。
I find peace in meditation and connecting with my inner self.,私は瞑想し、自分の内なる自己とつながることで平安を見出します。
I'm motivated by the desire to make a positive impact on future generations.,私は将来の世代にポジティブな影響を与えたいという願望に動機付けられています。
The sound of leaves rustling in the wind is nature's gentle lullaby.,風にそよぐ木の葉の音は、自然の優しい子守唄です。
I believe in the power of forgiveness to heal and bring inner peace.,私は心の癒しと平安をもたらす許しの力を信じています。
The sight of a field of flowers in bloom fills my heart with joy.,一面に咲き誇る花畑を見ると、心が幸せな気持ちになります。
I find solace in the silence of early mornings and the stillness of nature.,早朝の静けさと自然の静けさに慰めを感じます。
I'm grateful for the lessons learned from both success and failure.,成功と失敗の両方から学んだ教訓に感謝しています。
The feeling of accomplishment after reaching a goal is immensely satisfying.,目標を達成した後の達成感はとても充実しています。
I'm inspired by acts of courage and the willingness to stand up for what's right.,私は勇気ある行動と、正しいことのために立ち上がる意欲にインスピレーションを受けています。
The smell of rain after a long dry spell is refreshing and invigorating.,長い乾燥期間の後の雨の香りはさわやかで爽快です。
I believe in the power of unity and working together for a common purpose.,私は団結の力と共通の目的のために協力する力を信じています。
The taste of homemade chocolate chip cookies brings back childhood memories.,手作りのチョコチップクッキーの味は、子供の頃の思い出を思い出させます。
I find joy in simple moments of laughter and shared experiences with loved ones.,私は、単純な笑いの瞬間や、愛する人たちと経験を共有することに喜びを感じます。
I'm motivated by the belief that every person has the ability to make a positive impact.,私は、誰もがポジティブな影響を与える能力を持っているという信念に動機づけられています。
The sight of a clear night sky filled with stars sparks a sense of wonder.,澄んだ夜空に満天の星空を見ると、不思議な気持ちになります。
I'm grateful for the beauty of diversity and the richness it brings to our world.,多様性の美しさとそれが私たちの世界にもたらす豊かさに感謝しています。
The feeling of sand between my fingers reminds me of the vastness of the world.,指の間の砂の感触が世界の広さを思い出させます。
I find inspiration in the stories of ordinary people doing extraordinary things.,私は普通の人々が特別なことをしている話からインスピレーションを得ます。
I'm inspired by the resilience of nature and its ability to adapt and thrive.,私は自然の回復力と、適応して繁栄する能力にインスピレーションを受けています。
The sound of waves crashing against the shore is a constant reminder of change.,海岸に打ち寄せる波の音は常に変化を思い出させます。
I'm motivated by the desire to leave a legacy of kindness and compassion.,私は優しさと思いやりの遺産を残したいという願望に動機付けられています。
The taste of homemade soup warms both the body and the soul.,自家製スープの味わいは身も心も温まります。
I find solace in the sound of raindrops tapping against the window.,雨粒が窓を叩く音に慰めを感じます。
I believe in the power of empathy to bridge divides and foster understanding.,私は共感の力が溝を埋め、理解を促進すると信じています。
The sight of a rainbow after a storm represents hope and new beginnings.,嵐の後に現れる虹の光景は、希望と新たな始まりを表しています。
I'm grateful for the moments of stillness and reflection that bring clarity.,明晰さをもたらしてくれる静寂と熟考の瞬間に感謝しています。
The feeling of cool grass beneath my feet connects me to the earth's energy.,足元のひんやりとした草の感触が私を地球のエネルギーと結びつけます。
I find inspiration in the resilience and strength of those who have faced adversity.,私は逆境に直面した人々の回復力と強さにインスピレーションを感じます。
I'm inspired by acts of generosity and the willingness to help others in need.,私は寛大な行為と、困っている人を助ける意欲にインスピレーションを受けています。
The sound of laughter is contagious and brings lightness to any situation.,笑い声は伝染し、どんな状況にも明るさをもたらします。
I'm motivated by the belief that every person has a unique gift to share with the world.,私は、誰もが世界と共有できるユニークな才能を持っているという信念に動機づけられています。
The taste of freshly squeezed orange juice is a burst of sunshine on my tongue.,絞りたてのオレンジジュースの味は、私の舌の上で太陽の光が弾けるような感じです。
I find joy in the simple act of giving and making a positive impact on someone's life.,私は誰かの人生に何かを与え、ポジティブな影響を与えるという単純な行為に喜びを感じます。
I'm grateful for the lessons learned from difficult experiences that have shaped me.,私を形成してくれた困難な経験から学んだ教訓に感謝しています。
The feeling of a warm embrace brings comfort and a sense of belonging.,温かい抱擁の感覚は、安らぎと帰属意識をもたらします。
I believe in the power of perseverance and the ability to overcome obstacles.,私は忍耐力と障害を克服する能力を信じています。
The sight of a butterfly emerging from its cocoon is a symbol of transformation.,蝶が繭から出てくる姿は変革の象徴です。
I'm inspired by acts of kindness that restore faith in humanity.,私は人類への信頼を取り戻す親切な行為にインスピレーションを受けています。
The sound of birds chirping in the morning brings a sense of hope and new beginnings.,朝の鳥のさえずりは希望と新たな始まりの感覚をもたらします。
I'm motivated by the belief that every person has the potential for greatness.,私はすべての人が偉大になる可能性を持っているという信念によって動機づけられています。
The taste of a perfectly ripe mango is a burst of sweetness and tropical delight.,完熟マンゴーの味わいは、はじけるような甘みとトロピカルな味わいです。
I find solace in the beauty of a sunset and the promise of a new day.,私は夕日の美しさと新しい一日の約束に慰めを感じます。
I'm inspired by individuals who follow their passions and live life on their own terms.,私は、自分の情熱に従い、自分のやり方で人生を生きる人たちにインスピレーションを受けます。
The sight of a baby's smile is a reminder of the purest form of joy.,赤ちゃんの笑顔を見ると、最も純粋な喜びを思い出させます。
I'm grateful for the love and support of my family and friends.,家族や友人の愛とサポートに感謝しています。
The feeling of a warm summer breeze on my skin brings a sense of freedom.,暖かい夏の風を肌に感じると、解放感が生まれます。
"I believe in the power of self-care and nurturing my mind, body, and soul.",私はセルフケアの力、心、体、魂を育てる力を信じています。
The sound of a waterfall cascading down rocks is both calming and invigorating.,岩を流れ落ちる滝の音は心を落ち着かせ、元気を与えてくれます。
I'm motivated by the desire to make a positive impact on the lives of others.,私は他の人の人生にポジティブな影響を与えたいという願望によって動機付けられています。
The taste of homemade ice cream is a sweet indulgence that brings happiness.,自家製アイスクリームの味は幸せをもたらす甘い贅沢です。
I find joy in the beauty of nature and the intricate details of the world around me.,私は自然の美しさと周囲の世界の複雑な細部に喜びを感じます。
I'm grateful for the opportunities that life presents and the lessons learned along the way.,人生が与えてくれる機会と、その過程で学んだ教訓に感謝しています。
The feeling of sand slipping through my fingers reminds me of the transient nature of time.,砂が指の間を滑り落ちる感触は、時間の儚さを思い出させます。
I'm inspired by the courage of those who speak up for justice and equality.,私は正義と平等のために声を上げる人々の勇気に触発されています。
The sight of a hummingbird hovering in mid-air is a reminder of the wonders of nature.,空中にホバリングするハチドリの姿は、自然の驚異を思い起こさせます。
I'm motivated by the belief that small actions can create significant positive change.,私は、小さな行動が大きな前向きな変化を生み出すことができるという信念によって動機づけられています。
The taste of freshly brewed coffee is a comforting ritual that starts my day on a positive note.,淹れたてのコーヒーの味は、一日を前向きに始める心地よい儀式です。
I find solace in the sound of rain gently tapping against the windowpane.,窓ガラスを優しく叩く雨の音に安らぎを感じます。
I believe in the power of compassion to heal wounds and bring understanding.,私は、傷を癒し、理解をもたらす思いやりの力を信じています。
The sight of a starry night sky fills me with a sense of awe and wonder.,星空を眺めると、畏怖の念と不思議な気持ちでいっぱいになります。
Believe it!,信じてください！
I'll take a potato chip... and eat it!,ポテトチップを持ってきて食べます！
I won't run away anymore... I won't go back on my word... that is my ninja way!,もう逃げない…約束は戻らない…それが私の忍道だ！
I am the bone of my sword,私は剣の骨です
I'm not a hero. I'm a high school student who likes girls and games.,私は英雄ではありません。女の子とゲームが好きな高校生です。
"It's not a question of can or can't. Some things in life, you just do.",できるかできないかの問題ではありません。人生には、ただやるだけのこともあります。
"The world is not beautiful, therefore it is.",世界は美しくない、だから美しいのだ。
I don't want to conquer anything. I just think that the guy with the most freedom in this ocean is the Pirate King!,何も征服したくない。この海で一番自由な奴が海賊王だと思うよ！
I won't give up... not until I win!,私は諦めません…勝つまでは！
People die if they are killed.,人は殺されれば死ぬ。
The only way to truly escape the mundane is for you to constantly evolve.,日常から真に脱出する唯一の方法は、あなたが常に進化することです。
"There are no regrets. If one can be proud of one's life, one should not wish for another chance.",後悔はありません。自分の人生に誇りを持てるなら、次のチャンスを望む必要はない。
"You can't always hold on to the things that are important. By letting them go, we gain something else.",大切なものを常に持ち続けることはできません。それらを手放すことで、私たちは何か他のものを得ることができます。
"A lesson without pain is meaningless. That's because no one can gain without sacrificing something. But by enduring that pain and overcoming it, he shall obtain a powerful, unmatched heart.",痛みのないレッスンでは意味がありません。それは、何かを犠牲にしなければ誰も得をすることはできないからです。しかし、その痛みに耐え、乗り越えることで、人は比類のない強い心を手に入れることになる。
"If you have time to think of a beautiful end, then why not live beautifully until the end?",美しい最期を考える暇があるなら、最後まで美しく生きてみませんか？
It's just pathetic to give up on something before you even give it a shot.,挑戦する前に何かを諦めるのは情けないことです。
"When you give up, that's when the game is over.",諦めたらそこで試合終了です。
"The world isn't perfect. But it's there for us, doing the best it can. That's what makes it so damn beautiful.",世界は完璧ではありません。しかし、それは私たちのためにあり、最善を尽くしています。それがとても美しいのです。
"Whatever you do, enjoy it to the fullest. That is the secret of life.",何をするにしても、最大限に楽しんでください。それが人生の秘密です。
"In order to protect someone, you'll have to do something even more horrifying.",誰かを守るためには、もっと恐ろしいことをしなければならない。
I'll keep moving forward until I can no longer move.,動けなくなるまで前に進み続けます。
"If you don't like your destiny, don't accept it. Instead, have the courage to change it the way you want it to be.",自分の運命が気に入らないなら、それを受け入れないでください。代わりに、自分が望むように変える勇気を持ってください。
"If you're gonna insist on gambling and then complain when you lose, you had better work on your game.",ギャンブルに固執し、負けたときに文句を言うつもりなら、ゲームに取り組んだほうがよいでしょう。
"Fear is not evil. It tells you what your weakness is. And once you know your weakness, you can become stronger.",恐怖は悪ではありません。それはあなたの弱点が何かを教えてくれます。そして、自分の弱さを知れば、強くなれるのです。
We're all mad here.,ここでは皆気が狂っている。
The only ones who should kill are those who are prepared to be killed!,殺すべきなのは、殺される覚悟のある者だけだ！
"People die when they are killed, but that doesn't mean we have to accept it!",人は殺されれば死にますが、だからといってそれを受け入れなければならないわけではありません。
"It doesn't matter if we're wrong, because every time we go wrong, we learn something new.",私たちが間違っているかどうかは問題ではありません。なぜなら、間違いを犯すたびに、私たちは何か新しいことを学ぶからです。
"Power comes in response to a need, not a desire.",力は欲望ではなく、必要性に応じて生まれます。
People's lives don't end when they die. It ends when they lose faith.,人の命は死んでも終わりではありません。彼らが信仰を失ったとき、それは終わります。
Fear is not an evil. It's a necessary force. It's a reminder of what we have to lose.,恐怖は悪ではありません。必要な力なのです。それは私たちが失うべきものを思い出させてくれます。
Being alone is more painful than getting hurt.,傷つくよりも一人でいることの方が辛い。
"Even if we forget the faces of our friends, we will never forget the bonds that were carved into our souls.",たとえ友人の顔を忘れても、心に刻まれた絆は決して忘れません。
"Life is not a game of luck. If you wanna win, work hard.",人生は運ゲーではありません。勝ちたければ、頑張ってください。
"Don't give up, there's no shame in falling down! True shame is to not stand up again!",諦めるな、転んでも恥ずかしくない！本当の恥は、二度と立ち上がらないことだ！
"No matter what happens, never give up on yourself.",何が起こっても、自分自身を決して諦めないでください。
"We are all like fireworks. We climb, shine, and always go our separate ways and become further apart. But even if that time comes, let's not disappear like a firework, and continue to shine forever.",私たちは皆、花火のようです。私たちは登り、輝き、そして常に別々の道を歩み、さらに離れていきます。でも、その時が来ても、花火のように消えないで、永遠に輝き続けましょう。
"When you're in a pinch, a cheap trick is the best kind.",ピンチのときは、安上がりなトリックが一番です。
"The world is merciless, but it's also very beautiful.",世界は無慈悲ですが、とても美しいものでもあります。
The things that make us different are the things that make us strong.,私たちを他と違うものにするものは、私たちを強くするものです。
"In this world, wherever there is light - there are also shadows. As long as the concept of winners exists, there must also be losers. The selfish desire of wanting to maintain peace causes wars, and hatred is born to protect love.",この世界には、光があるところには影もあります。勝者の概念が存在する限り、敗者も存在するはずです。平和を維持したいという利己的な欲求が戦争を引き起こし、愛を守るために憎しみが生まれる。
"Even if I can't see you, even if we are separated far apart from each other, I'll always be watching after you. I'll definitely watch over you forever.",会えなくても、遠く離れていても、ずっと見守っています。きっといつまでも見守ってますよ。
You can't just look at people's faces to see what they're thinking. You have to look into their hearts too.,人々の顔を見て、何を考えているかを知ることはできません。彼らの心の中も覗く必要があります。
"In order to find the true meaning of happiness, you have to take the risk of facing your fears and stepping into the unknown.",幸福の本当の意味を見つけるためには、恐怖と向き合い、未知の世界に足を踏み入れるリスクを負わなければなりません。
Sometimes you have to fight for the things that are worth fighting for.,時には、戦う価値のあるもののために戦わなければならないこともあります。
The real world is just a crappy game. The ideal world can only be found within a game.,現実の世界はただのくだらないゲームです。理想の世界はゲームの中にしかありません。
"You should never give up on life, no matter how you feel. No matter how badly you want to give up, you can't. Not until you actually let it beat you.",どのように感じても、人生を決して諦めてはいけません。どんなに諦めたくても諦められないのです。実際に負けてしまうまでは。
The things that are most important aren't written in books. You have to learn them by experiencing them yourself.,最も重要なことは本には書かれていません。自分自身で経験することでそれらを学ばなければなりません。
"The past makes you wanna die out of regret and future makes you depressed out of anxiety. So by elimination, the present is likely the happiest time.",過去を思い出すと後悔で死にたくなるし、未来を考えると不安で憂鬱になります。したがって、消去法で考えると、現在が最も幸せな時期である可能性が高くなります。
"When you come to hate something you liked, it's incredibly painful. I want to be honest, so I won't pretend that it doesn't hurt. But... I've always thought this. Pain can be shared too. When you share it, it hurts less.",好きだったものが嫌いになると、とても辛いですよね。正直でいたいから、傷つかないふりはしない。でも…私はいつもこう思っていました。痛みも共有できる。共有すると痛みが軽減されます。
Being alone is more painful than getting hurt.,傷つくよりも一人でいることの方が辛い。
It's not that I can't live without you... It's just that I don't even want to try.,あなたなしでは生きていけないわけではありません...ただ、試したくないだけです。
"If you can't find a reason to fight, then you shouldn't be fighting.",戦う理由が見つからないなら、戦わなければいい。
"If there is a chance that something will change, I'm going to take it. Because as long as you don't take that chance, nothing will ever change.",何かが変わる可能性があるなら、私はそれを受け入れるつもりです。なぜなら、そのチャンスを逃さない限り、何も変わらないからです。
"Someday, I'll repay my debt to you. But for now, I'll just make sure you don't die.",いつか、あなたに借りを返します。でも今は、あなたが死なないようにだけしてあげます。
"If you just submit yourself to fate, then that's the end of it.",ただ運命に身を任せてしまったら、そこで終わりです。
Life is not a game of luck.,人生は運ゲーではありません。
Believe you can and you're halfway there.,できると信じれば、半分まで到達できます。
The only way to do great work is to love what you do.,素晴らしい仕事をする唯一の方法は、自分のやっていることを愛することです。
In the middle of difficulty lies opportunity.,困難の中にこそチャンスがある。
Don't watch the clock; do what it does. Keep going.,時計を見ないでください。それがすることをしてください。立ち止まるな。
"Success is not final, failure is not fatal: It is the courage to continue that counts.",成功は最終的なものではなく、失敗は致命的ではありません。重要なのは継続する勇気です。
You are never too old to set another goal or to dream a new dream.,別の目標を設定したり、新しい夢を見るのに年をとりすぎているということはありません。
The future belongs to those who believe in the beauty of their dreams.,未来は夢の美しさを信じる者のものです。
"You have within you right now, everything you need to deal with whatever the world can throw at you.",あなたは今、世界があなたに投げかける可能性のあるものに対処するために必要なものをすべてあなたの中に持っています。
"The greatest glory in living lies not in never falling, but in rising every time we fall.",生きることの最大の栄光は、決して転ばないことにあるのではなく、転ぶたびに立ち上がることにある。
The only limit to our realization of tomorrow will be our doubts of today.,私たちが明日を実現する唯一の限界は、今日の私たちの疑念だけです。
The only person you should try to be better than is the person you were yesterday.,あなたがより良くなろうと努力すべき唯一の人は、昨日のあなたです。
The road to success and the road to failure are almost exactly the same.,成功への道と失敗への道はほぼ同じです。
It always seems impossible until it's done.,やり遂げるまではいつも不可能に思えます。
"Your time is limited, don't waste it living someone else's life.",あなたの時間は限られている、他人の人生を生きて時間を無駄にしないでください。
The man who moves a mountain begins by carrying away small stones.,山を動かす人は、小さな石を運び去ることから始めます。
"The future starts today, not tomorrow.",未来は明日ではなく今日始まります。
Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.,自分自身と、ありのままの自分を信じてください。自分の中にどんな障害よりも偉大なものがあることを知ってください。
You miss 100% of the shots you don't take.,撮らなかったショットは 100% ミスします。
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,あなたと目標の間に立ちはだかる唯一のものは、なぜそれを達成できないのかについてあなたが自分自身に言い聞かせ続ける物語です。
The best way to predict your future is to create it.,自分の未来を予測する最良の方法は、それを創造することです。
Success is not the key to happiness. Happiness is the key to success.,成功は幸福への鍵ではありません。幸福は成功の鍵です。
It is never too late to be what you might have been.,なりたかった自分になるのに遅すぎるということはありません。
The only time you fail is when you fall down and stay down.,失敗するのは、落ち込んで落ち込んだときだけです。
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,心の中にある恐怖に振り回されないでください。心の中の夢に導かれてください。
The only way to achieve the impossible is to believe it is possible.,不可能を達成する唯一の方法は、それが可能であると信じることです。
Believe in the power of your dreams.,あなたの夢の力を信じてください。
Dream big and dare to fail.,大きな夢を持ち、大胆に失敗しましょう。
"You don't have to see the whole staircase, just take the first step.",階段全体を見る必要はありません。最初の一歩を踏み出すだけです。
Your dreams are never too big; your expectations are just too small.,あなたの夢は大きすぎることはありません。あなたの期待は小さすぎます。
"Make your life a masterpiece; imagine no limitations on what you can be, have, or do.",あなたの人生を傑作にしましょう。自分がなれること、持つこと、できることに制限がないことを想像してください。
"The greatest danger for most of us is not that our aim is too high and we miss it, but that it is too low and we reach it.",私たちのほとんどにとって最大の危険は、目標が高すぎて目標を達成できないことではなく、目標が低すぎて目標を達成してしまうことです。
"Your life does not get better by chance, it gets better by change.",あなたの人生は偶然によって良くなるのではなく、変化によって良くなります。
"Aim for the moon. If you miss, you may hit a star.",月を目指してください。ミスするとスターに当たる可能性があります。
"There is no passion to be found playing small, in settling for a life that is less than the one you are capable of living.",自分の能力以下の人生に甘んじて、小さなことをする情熱は見出されません。
You are capable of more than you know.,あなたには自分が知っている以上のことができるのです。
"If you can dream it, you can achieve it.",それを夢見ることができれば、それを達成することができます。
You have to be odd to be number one.,ナンバーワンになるには奇妙でなければなりません。
"Success is not in what you have, but who you are.",成功はあなたが持っているものではなく、あなたが誰であるかにあります。
"It's not about how hard you hit, it's about how hard you can get hit and keep moving forward.",どれだけ強く打つかではなく、どれだけ強く打たれても前に進み続けることができるかが重要だ。
Life is what happens when you're busy making other plans.,人生とは、他の計画を立てるのに忙しいときに起こるものです。
"Believe in yourself, take on your challenges, dig deep within yourself to conquer fears.",自分を信じて挑戦し、自分の内面を深く掘り下げて恐怖を克服しましょう。
It does not matter how slowly you go as long as you do not stop.,立ち止まらない限り、どれだけゆっくり進んでも大丈夫です。
Don't be afraid to give up the good to go for the great.,偉大なことを成し遂げるために、善を放棄することを恐れないでください。
You are never too old to set another goal or to dream a new dream.,別の目標を設定したり、新しい夢を見るのに年をとりすぎているということはありません。
The future belongs to those who believe in the beauty of their dreams.,未来は夢の美しさを信じる者のものです。
Don't watch the clock; do what it does. Keep going.,時計を見ないでください。それがすることをしてください。立ち止まるな。
In the middle of difficulty lies opportunity.,困難の中にこそチャンスがある。
The only way to do great work is to love what you do.,素晴らしい仕事をする唯一の方法は、自分のやっていることを愛することです。
Believe you can and you're halfway there.The best way to predict the future is to create it.,未来を予測する最良の方法は、未来を創造することです。
Don't worry about failure; you only have to be right once.,失敗を心配する必要はありません。正しくなるのは一度だけでいいのです。
Success is not the key to happiness. Happiness is the key to success.,成功は幸福への鍵ではありません。幸福は成功の鍵です。
"In the midst of chaos, there is also opportunity.",混乱の中にこそチャンスもある。
The secret to success is to know something nobody else knows.,成功の秘訣は、誰も知らないことを知ることです。
Great things in business are never done by one person. They're done by a team of people.,ビジネスにおける偉大なことは、決して一人の人間によって成し遂げられるものではありません。それらは人々のチームによって行われます。
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work.",仕事はあなたの人生の大部分を占めることになりますが、本当に満足する唯一の方法は、素晴らしい仕事だと信じることをすることです。
"If you're not embarrassed by the first version of your product, you've launched too late.",製品の最初のバージョンを恥ずかしくないのであれば、発売が遅すぎます。
"The biggest risk is not taking any risk. In a world that is changing quickly, the only strategy that is guaranteed to fail is not taking risks.",最大のリスクはリスクを取らないことです。急速に変化する世界において、失敗が確実な唯一の戦略は、リスクをとらないことです。
Ideas are easy. Implementation is hard.,アイデアは簡単です。実装は難しいです。
The value of an idea lies in the using of it.,アイデアの価値は、それを活用することにあります。
The most dangerous poison is the feeling of achievement. The antidote is to every evening think what can be done better tomorrow.,最も危険な毒は達成感です。解毒剤は、明日は何ができるかを毎晩考えることです。
Your most unhappy customers are your greatest source of learning.,最も不幸な顧客は、最大の学習源です。
Success is not about ideas. It's about making ideas happen.,成功とはアイデアではありません。それはアイデアを実現することです。
"Stay hungry, stay foolish.",渇望する愚か者であれ。
The best startups generally come from somebody needing to scratch an itch.,最高のスタートアップは通常、かゆいところを掻く必要のある誰かから生まれます。
It's not about ideas. It's about making ideas happen.,それはアイデアの問題ではありません。それはアイデアを実現することです。
"If you can't explain it simply, you don't understand it well enough.",簡単に説明できない場合は、十分に理解していないことになります。
The key to success is to start before you're ready.,成功の鍵は、準備が整う前に始めることです。
"Chase the vision, not the money. The money will end up following you.",お金ではなくビジョンを追い求めてください。お金は結局あなたを追ってくるでしょう。
A business that makes nothing but money is a poor business.,金だけを稼ぐビジネスは貧しいビジネスです。
"If you're not making mistakes, then you're not making decisions.",間違いを犯していないのであれば、決断を下しているわけではありません。
The critical ingredient is getting off your butt and doing something.,重要なのは、腰を据えて何かをすることです。
The man who moves a mountain begins by carrying away small stones.,山を動かす人は、小さな石を運び去ることから始めます。
The only way to do great work is to love what you do.,素晴らしい仕事をする唯一の方法は、自分のやっていることを愛することです。
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work.",仕事はあなたの人生の大部分を占めることになりますが、本当に満足する唯一の方法は、素晴らしい仕事だと信じることをすることです。
"The biggest risk is not taking any risk. In a world that is changing quickly, the only strategy that is guaranteed to fail is not taking risks.",最大のリスクはリスクを取らないことです。急速に変化する世界において、失敗が確実な唯一の戦略は、リスクをとらないことです。
Ideas are easy. Implementation is hard.,アイデアは簡単です。実装は難しいです。
The value of an idea lies in the using of it.,アイデアの価値は、それを活用することにあります。
The most dangerous poison is the feeling of achievement. The antidote is to every evening think what can be done better tomorrow.,最も危険な毒は達成感です。解毒剤は、明日は何ができるかを毎晩考えることです。
Your most unhappy customers are your greatest source of learning.,最も不幸な顧客は、最大の学習源です。
Success is not about ideas. It's about making ideas happen.,成功とはアイデアではありません。それはアイデアを実現することです。
"Stay hungry, stay foolish.",渇望する愚か者であれ。
The best startups generally come from somebody needing to scratch an itch.,最高のスタートアップは通常、かゆいところを掻く必要のある誰かから生まれます。
It's not about ideas. It's about making ideas happen.,それはアイデアの問題ではありません。それはアイデアを実現することです。
"If you can't explain it simply, you don't understand it well enough.",簡単に説明できない場合は、十分に理解していないことになります。
The key to success is to start before you're ready.,成功の鍵は、準備が整う前に始めることです。
"Chase the vision, not the money. The money will end up following you.",お金ではなくビジョンを追い求めてください。お金は結局あなたを追ってくるでしょう。
A business that makes nothing but money is a poor business.,金だけを稼ぐビジネスは貧しいビジネスです。
